SKU,NL_Category_1,NL_Category_2,NL_Variant,Variant_Cord,Brand,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6
CASIM0225,Samsung,Samsung Galaxy A23,Solid_Brown,,Casimoda,Back,Side,Front,,,
CASIM0225,Samsung,Samsung Galaxy A23,Solid_Beige,,Casimoda,Back,Side,Front,,,
CASIM0225,Samsung,Samsung Galaxy A23,Solid_Black,,Casimoda,Back,Side,Front,,,
CASIM0087,Samsung,Samsung Galaxy A13 4G,Shockproof,,Casimoda,Back,Side,Front,,,
CASIM0210,Apple,iPhone 17,Crossbody_black_gold,Black_Gold,Casevibes,View 1,View 2,View 3,View 4,,
CASIM0210,Apple,iPhone 17,Crossbody_beige,Beige,Casevibes,View 1,View 2,View 3,View 4,,
CASIM0210,Apple,iPhone 17,Crossbody_green,Green,Casevibes,View 1,View 2,View 3,View 4,,
CASIM0210,Apple,iPhone 17,Crossbody_rosegold,Rosegold,Casevibes,View 1,View 2,View 3,View 4,,
